ARM	Arminia Berelstein	85	84.7	Gegenpress	4-2-3-1	Play Out of Defence	Standard	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Much Higher	Offside Trap	No Instruction	(88) Klaus BERNHARD	(83) Florian GRUBER	(88) Mattieu DONNADIEU [ARV]	(85) Efraín ARENAS [AUR]	(82) Clayton CALDWELL [CAL]	(85) Jakub DVOŘÁK	(85) Tomáš SVOBODA	(82) Kuzma ZVEZDINSKY [RUD]	(80) Stijn BOELENS	(85) Telmo CANDEIAS [REI]	(89) Florian VAN CAN	(81) Hendrik VOGELSANG	(80) Matěj KŘÍŽEK	(79) Abe BOSMAN [ESU]	(80) Rodion PROKHOROV [RUD]	(81) Severin WEYERMANN	#b67943	#000000	Berelstein	Alemannisches Erdstadion
LEI	SpVgg Leinenfeld	80	80.2	Balanced	3-4-3	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	No Instruction	(79) Robert KIRCHNER	(78) Thomas WALDHAUS	(78) Levente KOVÁCS [GEN]	(80) Cayetano MONTOYA [AUR]	(79) Juvenal VERA [AUR]	(88) Conrad BAUER [ESU]	(79) Ánselmo FERNANDEZ [AUR]	(79) Desmond BENALLY [CAL]	(83) Made DJELANTIK [CAH]	(80) Cosimo COLOMBO [VIC]	(79) Bernardo FIGUEIRA [REI]	(78) Alois HOLZER	(77) Leoš SLÁDEK	(76) Ewoud ROERDINK	(77) Younès ZERHOUNI [ARV]	(78) Gregor ALTMANN	#a30c13	#fcdd09	Leinenfeld	Stadion an der Schwartzerdtstraße
HAN	Alemannia Haneburg 1900	79	79.3	Gegenpress	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(87) Matthias NOACK	(82) Nathaniel VITALE [ESU]	(79) Emmett HARRISON [CAL]	(79) Narra CATACUTAN [SGD]	(76) Ephraim SNYDER [PON]	(81) Sven REIER	(78) Lisandro RIVAS [AUR]	(79) Frederick PETERS	(78) Leon BIERHALS	(76) Salvatore ROMANO [VIC]	(77) Vilmos SZILÁGYI [GEN]	(77) Albrecht WIEGAND	(76) Evgeny MAKAROV [RUD]	(75) Nikolaus SCHOLZE	(76) Peer BRANDES	(77) Gijsbert TROOST	#009A3C	#FFFFFF	Haneburg	Nordalemannien Stadion
VSC	Veynacher SC	79	78.3	Balanced	4-2-3-1	Play Out of Defence	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Counter	Short	Higher	Higher	Step Up	Stay On Feet	(81) Radim MUELLER	(79) Florian ČERNÍK	(75) Matthäus POLÁK	(74) Marwin KADLEC	(83) Uwe DAUBE	(78) Gernot FALKENRATH	(78) Rolf GÄRTNER	(78) Reinhold GRÜNEWALD	(79) Wieland HUMMEL	(78) Oto VACEK	(78) Conrad SKÁLA	(76) Leonhard METZGER	(78) Jaro REIS	(72) Radim UNRUH	(75) Havel LANDAU	(74) Guntram LÖWE	#008543	#E30613	Veynach	Pfarrwiese
E02	FC Eisenfeld 02	78	77.5	Tiki-Taka	4-3-3	Play Out of Defence	Much Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Much Higher	Higher	Offside Trap	Get Stuck In	(75) Marvin OPPENHEIMER	(79) Chris WEIMANN	(77) Rafaël ALTENA	(78) Heike KAISER	(82) Sascha VAN MIDDLESWORTH	(76) Wiebe SIMONS	(78) Stephan KIEFER	(78) Wilfried SORGE	(77) Kay WILMS	(78) Frans CUIJPERS	(74) Geert WINKLERS	(73) Luca BLECHER	(74) Titus HOCHBERG	(73) Dirk THÄLMANN	(71) Hans WAUTERS	(77) Adolf GRIMM	#004B9C	#FFFFFF	Eisenfeld	Glückauf-Kampfbahn
VPR	Velesi Pravenburg	78	77.2	Wing Play	4-3-3	Pass Into Space	Standard	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	No Instruction	Counter	No Instruction	Higher	Higher	Step Up	Stay On Feet	(73) Bruno SOMMER	(79) Tadeáš FISCHER	(78) Otto SLUSSER	(77) Kord GROSS	(79) Heinrich KRAUSSER	(75) Eric HASS	(78) Conrad VON GIMMELSHAUSEN	(79) Erik KRÄMER	(77) Rainer HABICHT	(76) Maria ADENAUER	(78) Barnabas HENNING	(74) Lubor FRANK	(75) Humbert HERZOG	(75) Mirek WIRNER	(73) Kryštof WOLF	(72) Liam SLOVÁK	#FFFFFF	#000000	Pravenburg	Eden Stadium
SPA	Sparta Amberdam	78	77.5	Tiki-Taka	4-3-3	Play Out of Defence	Much Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Much Higher	Higher	Offside Trap	Stay On Feet	(74) Olav JENSEN	(79) Meine CARLSEN	(74) Stig VAN WIEREN	(78) Ane LUDVIGSEN	(75) Leif ABEL	(78) Hauke OLESEN	(74) Lorens CHRISTENSEN	(84) Ime PAULSEN	(74) Oscar CARSTENSEN	(79) Ole TOFT	(83) Thor ANDRESEN	(75) Alte ADMASEN	(76) Palle ALMA	(72) Frej ALSERDA	(74) Remme THORSEN	(76) Filip KARTENSEN	#D2122E	#ADD8E6	Amberdam	De Meer Stadion
BAI	SV Bairath Mürrental 1895	78	77.4	Balanced	4-2-3-1	No Instruction	Standard	No Instruction	Run At Defence	No Instruction	No Instruction	Sometimes	No Instruction	Counter	No Instruction	Standard	Standard	No Instruction	No Instruction	(82) Herwig KEIL	(78) Uwe UNKLE	(78) Pascal HALLE	(76) Manfred BECKENBAUER	(75) Valentin KÄSTNER	(78) Silvan ROSENFELD	(79) Augustin LANGER	(73) Jonatan PETERS	(76) Gottfried HÜBER	(79) Dirk SPANNAGEL	(77) Jupp GÖBEL	(75) Tom KALBFLEISCH	(72) Linus KRAUSS	(73) Marzell BECKE	(76) Markus ABRAHAM	(77) Milan PAUL	#DC052D	#0066B2	Mürrental	Grunwalder Stadion 
PRA	Pravenburger Kickers	78	77.2	Balanced	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Counter	Short	Higher	Higher	Step Up	Stay On Feet	(79) Gabriel TESAŘÍK	(75) Timotej SEDLÁK	(76) Ctirad ŠEVČÍK	(77) Jindra CHALUPNÍK	(78) Edvard JANÍČEK	(77) Július BERNARD	(76) Lubor HLAVÁČEK	(77) Tadeáš ŠIMON	(79) Mirek TESAŘÍK	(78) Hubert HAŠEK	(77) Oliver BÁRTA	(75) Branislav BERÁNEK	(76) Ignác JELEN	(75) Drahoslav PEŠEK	(71) Miloš DOLEŽAL	(76) Zikmund PAVLÍK	#8E192B	#FF9000	Pravenburg	Letná Stadium
VEY	VfB Veynach	77	76.6	Tiki-Taka	4-2-3-1	Play Out of Defence	Much Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Much Higher	Higher	Step Up	Stay On Feet	(78) Boda HARNS	(79) Pirmin FALK	(77) Dietmar EBNER	(76) Jupp NEUMANN	(77) Gero WEHUNT	(79) Dieter SCHWINGHAMMER	(73) Ulf GOTTI	(75) Adi HAHN	(72) Magnus BELTZ	(79) Fabian KNEF	(78) Johann WILDGRUBE	(70) Emmerich HÖFLER	(70) Kunibert HAASE	(72) Alfons HAAS	(74) Helmar SAUBER	(73) Denis WALKENHORST	#441678	#FFFFFF	Veynach	Pralterstadion
F01	Fortuna Hammersburg 01	77	76.6	Wing Play	4-4-2	Pass Into Space	Standard	Shoot On Sight	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Standard	Drop Off	Get Stuck In	(78) Kurt ANDELA	(77) Guntram DIRKSEN	(76) Manfred FRANKENSTEIN	(78) Lucas JESPERSEN	(77) Jan SVENDSEN	(75) Damian ASSENBERG	(76) Sikke PAUWELS	(76) Oswald LANGE	(79) Rolf SIEMON	(76) Otmar LORITZ	(75) Maxi HINTZEN	(73) Otto ERCKENS	(75) Till GÄRTNER	(72) Rochus SNEIJER	(75) Ewoud ARKES	(73) Klaus JONASEN	#004087	#000000	Hammersburg	Volksparkstadion 
RND	FC Randstadt	76	76.4	Balanced	4-3-3	No Instruction	Shorter	No Instruction	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	No Instruction	Standard	Standard	Drop Off	No Instruction	(77) Adriaan MEEUWES	(79) Han LUCAS	(73) Ivo VAN DAELE	(78) Rob WILMS	(78) Jozef HAENRAETS	(77) Antoon ARNTZEN	(78) Lenn VAN BUREN	(78) Stan SIMONS	(75) Mannes TIMMERMANS	(74) Joost RAMAKER	(73) Cees MARQUERING	(74) Floor DE CLOET	(72) Ewout DE LAND	(71) James ELZINGA	(72) Jozef CLOET	(74) Koenraad JONKHEER	#FF0000	#B0A072	Ranstadt	De Kuip
FRM	VfL Franmark	76	76.2	Counter	4-4-2	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(75) Guntram FALKNER	(79) Luitger LANGE	(76) Diedrich BADER	(75) Eugen BAUMGÄRTNER	(73) Timo HABICH	(72) Noah WENDELL	(76) Josef SCHULZE	(77) Michi SÜSS	(77) Erich ROT	(79) Luitpolt HUBERT	(79) Thorsten BLUMENTHAL	(71) Bodo POLZIN	(72) Wolf WEHUNT	(73) Hartmut KAUFMANN	(71) Ruprecht SCHEER	(72) Eric JÄGER	#000000	#E1000F	Franmark	Waldstadion
NUR	1. SC Nürbrecht 1888	76	75.6	Balanced	4-3-2-1	No Instruction	Shorter	Work Ball Into Box	No Instruction	Be More Disciplined	No Instruction	Sometimes	No Instruction	Hold Shape	No Instruction	Standard	Standard	No Instruction	Stay On Feet	(80) Siegbert MÜLLER	(77) Erwin BRABAND	(72) Elias KAUMANN	(79) Kuno UNRUH	(71) Tilo BURGSTALLER	(75) Alex EBBE	(73) Gisbert JAHNS	(77) Jupp HOFMEISTER	(78) Steffen DIEFENBACH	(75) Emmerich SAUBER	(75) Raffael BEITEL	(71) Heinz FELD	(74) Christof BECKE	(75) Jockel KÖNIGSMANN	(73) Alfred BECKERT	(70) Eckbert WENDEL	#AA1124	#FFFFFF	Nürbrecht	Zerzabelshoff Stadion
ZUR	HFC Zürmark	75	75.4	Balanced	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	No Instruction	No Instruction	Sometimes	No Instruction	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	(77) Augustin SORG	(72) Adalbert BLEIER	(76) Hartmann KIEFER	(74) Friedemann NUREMBURG	(75) Pascal MENDEL	(76) Reinhold WEIMANN	(76) Anton HERSCH	(76) Wenzeslaus PFEIFFER	(76) Hartwin SCHWARZ	(77) Raphael JUNG	(74) Noah WEBER	(68) Bertram GWERDER	(71) Adam MARKS	(74) Adalbert SÜSS	(69) Severin ADENAU	(74) Marius PLECHTER	#005791	#FFE600	Zürmark	Hardturm
EIE	Eintracht Eisenfeld	75	74.7	Counter	4-4-2	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Higher	Standard	No Instruction	Get Stuck In	(77) Roland HOCH	(75) Meine MEISSNER	(73) Niklaus YANCY	(74) Lex GOEBEL	(78) Gottlieb AUE	(75) Pascal POST	(73) Kunibert ALDENBERG	(73) Eckbert GUTTENBERG	(71) Kasimir KRANTZ	(79) Gottlob NURMBURG	(74) Till BERGE	(73) Brecht KASPER	(72) Senne TEUNISSEN	(71) Gerhardt TANGEMANN	(68) Otmar JUNDT	(74) Hanne VAN BREDA	#FDE100	#000000	Eisenfeld	Rote Erde Stadion
STU	TSV 1912 Sturnheim	74	74.4	Balanced	4-2-3-1	No Instruction	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Constantly	No Instruction	Hold Shape	No Instruction	Standard	Standard	No Instruction	Stay On Feet	(77) Denis LEWERENZ	(73) Stav WEGENER	(78) Erni BACHMANN	(71) Akiva SCHUMACHER	(76) Jaron HORN	(71) Bernd MÜLLER	(77) Hans-Joachim ENNS	(79) Lothar HÖFLER	(74) Humbert BAUMANN	(70) Noga BUMGARDNER	(72) Gotthilf BRINKERHOFF	(73) Daniel SIEGEL	(71) Kai VONNEGUT	(70) Till HÖFFLER	(68) Deror FRIEDRICH	(69) Guntram JUNG	#FFFFFF	#D40723	Sturnheim	Norarstadion
BTV	Brimunder TV	74	74.3	Counter	4-4-2	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(70) Levin ROSENBURG	(74) Cor BRUTZ	(72) Dan BERNHARD	(77) Steffen SCHÜTZE	(75) Otto KÜHN	(74) Ove BECK	(76) Wolf OHME	(75) Joop LAUWENS	(77) Marco SCHULTHIESS	(71) Otto PANDER	(76) Sieuwerd BEUMERS	(72) Veit HUMMEL	(70) Alf ALBERINK	(68) Erik BOTHE	(72) Eskil PETERSEN	(71) Ivo SCHUMACHER	#009655	#FFFFFF	Brimund	Viserastadion