WIN	Winscor FC	86	85.7	Gegenpress	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(90) Xavier CIENFUEGOS [REI]	(79) Owen ASHWORTH [ELV]	(83) Mitchell SMITH [ESU]	(90) Joris VAN ANTWERP [ALE]	(84) Hadrien DESCHAMPS [ARV]	(88) Péter SZABÓ [GEN]	(83) Arthur WHITMORE [ELV]	(86) Winston GALLAGHER [CAL]	(88) Pau PUIGCORBÉ [REI]	(83) Matías SALCEDO [REI]	(89) Leon VOGEL [ESU]	(81) Jostein HELGESEN [ALE]	(80) Dario MORETTI [VIC]	(79) Rachid OUÉDRAOGO [ARV]	(80) Keiran STANDISH [ELV]	(81) Nélson FERREIRA [REI]	#C8102E	#360f15	Winscor	Annesfield Park
LUT	Stade Lutècienne	86	85.5	Balanced	4-3-3	Play Out of Defence	Shorter	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	(87) Fabien BEAULIEU [ARV]	(88) Émile DELACROIX [ARV]	(88) Hugo SAINT-LAURENT [ARV]	(86) Oriol MONTAGUT [REI]	(80) Jean-Pierre TAILLARDAT [ARV]	(83) Valentino ZACCAGNI [VIC]	(89) Théo DURAND [ARV]	(89) Antoine BLANC [ARV]	(82) Siegmund STRACKE [PON]	(86) Rosendo ZAPATERO [AUR]	(82) Sergio CARUSO [ESU]	(82) Christophe GAGNON [ARV]	(80) Pierrick BERTHELOT [ARV]	(81) Dorian ROUSSEL [ARV]	(80) Félicien COUTURE [ARV]	(82) Hervé THIBODEAU [ARV]	#004170	#cc2129	Lutèce	Parc d'Arverne
ARM	Arminia Berelstein 1888	85	84.7	Gegenpress	4-2-3-1	Play Out of Defence	Standard	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Much Higher	Offside Trap	No Instruction	(88) Klaus BERNHARD [ALE]	(83) Florian GRUBER [ALE]	(88) Mattieu DONNADIEU [ARV]	(85) Efraín ARENAS [AUR]	(82) Clayton CALDWELL [CAL]	(85) Jakub DVOŘÁK [ALE]	(85) Tomáš SVOBODA [ALE]	(82) Kuzma ZVEZDINSKY [RUD]	(80) Stijn BOELENS [ALE]	(85) Telmo CANDEIAS [REI]	(89) Florian VAN CAN [ALE]	(81) Hendrik VOGELSANG [ALE]	(80) Matěj KŘÍŽEK [ALE]	(79) Abe BOSMAN [ESU]	(80) Rodion PROKHOROV [RUD]	(81) Severin WEYERMANN [ALE]	#b67943	#000000	Berelstein	Alemannisches Erdstadion
TOT	Toteham Lilywhites	83	83.1	Wing Play	4-3-3	No Instruction	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	Short	Higher	Standard	Drop Off	Stay On Feet	(89) Massimo VISCONTI [VIC]	(85) Lorenzo SQUILLACI [VIC]	(82) Vojtěch NOVOTNÝ [ALE]	(81) Giacomo RUSSO [VIC]	(77) Dominic DE COCO [VIC]	(77) Emilio BIANCHI [VIC]	(77) Ignazio ESPOSITO [VIC]	(88) Thomas HARGREAVES [ELV]	(78) Dietrich KUNZE [ALE]	(91) Harry CAINE [ELV]	(89) Lewis BARDSLEY [ELV]	(80) Ansgar KESSLER [ALE]	(79) Lachlan BARWICK [ELV]	(78) Rhys WARWICK [ELV]	(79) Martim DUARTE [REI]	(80) Freek HENDRIKS [ESU]	#FFFFFF	#132257	Dunmaris	Bill Nicholson Stadium
OT	Olimpia Trinacria	83	82.9	Balanced	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	(87) Spencer JACKSON [ESU]	(83) Jenaro SALAMANCA [AUR]	(87) Elliot FARNSWORTH [ESU]	(78) Myron TSOSIE [CAL]	(84) Alton BEGAY [CAL]	(79) Antonio MARGHERITI [VIC]	(85) Guillaume CHARDON [ARV]	(87) Rocco DE LUCA [ESU]	(84) Claude LEMAITRE [ARV]	(77) Donovan CENTURIONE [VIC]	(81) Wilhelm GIESEL [PON]	(80) Palmiro CONTINI [VIC]	(79) Vittorio FERRARA [VIC]	(78) Corrado MONTANARI [VIC]	(79) Lakhdar HAMIDI [VKT]	(80) Goffredo RUGGERI [VIC]	#001a7b	#000080	Trinacria	Stadio del Centomila
INT	Inter Mantova	81	80.8	Balanced	3-5-2	Play Out of Defence	Standard	No Instruction	No Instruction	Be More Expressive	No Instruction	Sometimes	No Instruction	Counter	Short	Higher	Higher	Step Up	No Instruction	(82) Rafael ROSARIO [AUR]	(77) Tiziano RICCI [VIC]	(85) Ibai URRUTIA [REI]	(79) Teguh SETIAWAN [CAH]	(79) Sofiane MANSOURI [ABB]	(81) Esteban PALOMER [ARV]	(83) Vito MORETTI [ESU]	(80) Emiliano LUNA [AUR]	(80) Joan XIRAU [REI]	(84) Dante ROSSI [ESU]	(79) Emil LEHNER [ALE]	(78) Tancredi MARINI [VIC]	(77) Celestino FIORENTINI [VIC]	(76) Alarico CANAVESE [VIC]	(77) Ettore LONGOBARDI [VIC]	(78) Hjalmar LINDSTRÖM [SKJ]	#062e6c	#febd02	Mantova	Ippodromo de Mantova
PCH	Prestune-Chicheham FC	81	80.7	Counter	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Long	Higher	Higher	No Instruction	Get Stuck In	(81) Yassine BENALI [RCS]	(81) Alejandro VARGA [REI]	(82) Harry BROWN [ELV]	(77) Ladislav KUČERA [POL]	(83) Domenico VIVALDI [VIC]	(80) George SMITH [ELV]	(84) Olegario PÉREZ [AUR]	(78) Sixten KARLSSON [SKJ]	(79) Jonathan Fields [ELV]	(84) Petr PROCHÁZKA [ALE]	(79) Daulat SIREGAR [CAH]	(79) Crispin WHITFIELD [ELV]	(77) Mátyás SZENDREI [GEN]	(78) Joar BERGLUND [SKJ]	(78) Álvaro CARVALHO [REI]	(79) Rhys DEACON [ELV]	#00235a	#FFE600	Prestune	Prestune Pavilion
STM	Estone Mansion	80	80.5	Balanced	4-2-3-1	Pass Into Space	Standard	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	Short	Higher	Higher	Offside Trap	No Instruction	(79) Pietro BORROMEO [VIC]	(79) Nathan HUGHES [ELV]	(78) Diego QUINTANA [REI]	(86) Wesley WETHERBY [ELV]	(78) Jerzy WIŚNIEWSKI [LEC]	(84) Victor TVEDT [SKJ]	(80) Gabriel BEAUCHÊNE [ARV]	(80) Axel ANDERSON [ESU]	(82) Spencer CHADWICK [ELV]	(81) Kendrick NAKAI [CAL]	(79) Severino GUZMÁN [AUR]	(78) Tristan MARGETTS [ELV]	(77) Haraldur ÓLAFSSON [SKJ]	(76) Lokendra BAHADUR [ELV]	(77) Selçuk DEMIRCI [SEL]	(78) Niall KINSELLA [SKJ]	#670E36	#92afd5	Gaelham	Wellington Road
LEI	SpVgg Leinenfeld	80	80.2	Balanced	3-4-3	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	No Instruction	(79) Robert KIRCHNER [ALE]	(78) Thomas WALDHAUS [ALE]	(78) Levente KOVÁCS [GEN]	(80) Cayetano MONTOYA [AUR]	(79) Juvenal VERA [AUR]	(88) Conrad BAUER [ESU]	(79) Ánselmo FERNANDEZ [AUR]	(79) Desmond BENALLY [CAL]	(83) Made DJELANTIK [CAH]	(80) Cosimo COLOMBO [VIC]	(79) Bernardo FIGUEIRA [REI]	(78) Alois HOLZER [ALE]	(77) Leoš SLÁDEK [ALE]	(76) Ewoud ROERDINK [ALE]	(77) Younès ZERHOUNI [ARV]	(78) Gregor ALTMANN [ALE]	#a30c13	#fcdd09	Leinenfeld	Stadion an der Schwartzerdtstraße
CAE	Caerdyf FC	79	79.5	Tiki-Taka	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	(82) Mathieu MARTIN [ARV]	(84) Tunç KENAANOĞLU	(76) Nolan JENNINGS [CAL]	(82) Philip KLEIN [ESU]	(78) Callum DAVIES [ELV]	(76) Ovidio VICO [AUR]	(79) Marcus WRIGHT [ELV]	(81) Baptiste ROUX [ARV]	(80) Yoru SHIRASE [NCH]	(80) Fletcher LANCASTER [ELV]	(76) Batuhan BALYOZ [SEL]	(78) Ryōichi NAKASHIMA [NCH]	(77) Kyffin LLEWELLYN [ELV]	(76) Duarte VASQUES [REI]	(77) Milan IVANOV [RUD]	(78) Tadhg BRENNAN [ELV]	#0057B8	#000000	Caerdyf	Silverstone Ground
CAT	Cathures Athletic	79	79.5	Gegenpress	4-2-4	Play Out of Defence	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	No Instruction	(87) Miklós NAGY [GEN]	(78) Tyson YAZZIE [CAL]	(77) Zalán VÁRADI [GEN]	(79) Diego MONTENEGRO [VIC]	(76) Ludvig JOHANSSON [SKJ]	(82) Ondřej ČERNÝ [ALE]	(78) Ayato HACHIKAWA [NCH]	(77) Lam VU [ATK]	(80) Jens Petter KLOVNING [ESU]	(83) Pierre PETIT [ARV]	(77) Robert SCHLÖSSER [PON]	(77) Saša RADOVIĆ [GEN]	(76) Eiichi FUJIMORI [NCH]	(75) Krister WESTERBERG [ALE]	(76) Nándor MÉSZÁROS [GEN]	(77) Detlef LORENZ [ALE]	#018749	#000000	Cathures	Necropolis Stadium
HAN	Alemannia Haneburg 1900	79	79.3	Gegenpress	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(87) Matthias NOACK [ALE]	(82) Nathaniel VITALE [ESU]	(79) Emmett HARRISON [CAL]	(79) Narra CATACUTAN [SGD]	(76) Ephraim SNYDER [PON]	(81) Sven REIER [ALE]	(78) Lisandro RIVAS [AUR]	(79) Frederick PETERS [ALE]	(78) Leon BIERHALS [ALE]	(76) Salvatore ROMANO [VIC]	(77) Vilmos SZILÁGYI [GEN]	(77) Albrecht WIEGAND [ALE]	(76) Evgeny MAKAROV [RUD]	(75) Nikolaus SCHOLZE [ALE]	(76) Peer BRANDES [ALE]	(77) Gijsbert TROOST [ALE]	#009A3C	#FFFFFF	Haneburg	Nordalemannien Stadion
OM	Olympique de Massilia	78	78.2	Gegenpress	4-2-3-1	Play Out of Defence	Standard	No Instruction	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	Get Stuck In	(82) Ahmet AYDIN [SEL]	(79) Valentin PEIXOTO [REI]	(77) Sergei SMIRNOV [RUD]	(78) Olivier DE VERLEY [ARV]	(76) Enzo GORLOMI [VIC]	(82) Victor TARDIEU [ARV]	(75) Osamu MATSUMOTO [NKI]	(75) Conan NEITZEL [PON]	(77) Federico CARDINALE [VIC]	(78) Ettore BIANCHI [VIC]	(81) Vinh NGO [ATK]	(77) Brice VIARDOT [ARV]	(75) Lothaire CHALUMEAU [ARV]	(76) Killian CHARPENTIER [ARV]	(76) Philibert LEMARCHAND [ARV]	(77) Octave ÉTIENNE [ARV]	#1e84d8	#00205B	Massilia	Stade du Bon Dieu Phébus
CSK	CSKA Radagorsk	75	75.2	Gegenpress	3-4-3	Pass Into Space	More Direct	No Instruction	Run At Defence	No Instruction	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(89) Oleksandr SHEVCHENKO [SID]	(77) Vsevolod KRESTOVSKY [RUD]	(72) Ihor KOVALENKO [SID]	(76) Alexei RAZUMOVSKY [RUD]	(70) Mykola HOLOBORODKO [SID]	(77) Namsarai AYUSHEEV [RUD]	(76) Danylo PEREBYINIS [SID]	(80) Ilya MOROZOV [GIA]	(70) Klym VERNYDUB [SID]	(70) Vilém ZLATOHLAVÝ [POL]	(70) Levko CHORNOVIL [SID]	(73) Nikolai KAMENETSKY [RUD]	(72) Lev ZHDANOV [RUD]	(71) Pavel TSVETKOV [RUD]	(72) Fyodor KORSAKOV [RUD]	(73) Egor GORYUNOV [RUD]	#D00027	#19388a	Radagorsk	Arena CSKA
UKA	Uralmash Kamengrad	73	73.5	Wing Play	4-4-2	No Instruction	More Direct	Shoot On Sight	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Lower	Lower	Drop Off	Get Stuck In	(79) Ivan DOLGORUKIY [RUD]	(73) Vasyl NALYVAIKO [SID]	(70) Dmitry BELOV [GIA]	(74) Fyodor CHISTYAKOV [RUD]	(70) Anton ORLOV [GIA]	(74) Lavr VRONSKY [RUD]	(70) Tymon DZIEDZIC [LEC]	(77) Boris VINOGRADOV [GIA]	(71) Tibor HORVÁTH [POL]	(75) Osip YUDIN [RUD]	(75) Valery POLYAKOV [GIA]	(70) Oleg CHERNOV [RUD]	(69) Ivan SITNIKOV [RUD]	(68) Grigory LOGINOV [RUD]	(69) Evgeny PLETNEV [RUD]	(70) Béla VASS [RUD]	#F37021	#8ab075	Kamengrad	Kamaletdin Agafurov Stadium